Timestamp,Operation,Coin,Price,Momentum,Price Change %,Trading Pair
2024-12-09T01:00:06.509521,SELL,NEO,11.28,True,5.125815470643047,NEO[USDT]
2024-12-09T01:00:06.524107,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:06.542430,SELL,NEO,11.27,True,5.032618825722266,NEO[USDT]
2024-12-09T01:00:06.557870,BUY,NEO,11.31,True,5.405405405405405,NEO[USDT]
2024-12-09T01:00:06.574359,SELL,NEO,11.3,True,5.312208760484625,NEO[USDT]
2024-12-09T01:00:06.590883,BUY,NEO,11.29,True,5.219012115563828,NEO[USDT]
2024-12-09T01:00:06.608030,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:06.623197,BUY,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:06.642433,SELL,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:06.657001,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:06.676565,SELL,NEO,11.28,True,5.125815470643047,NEO[USDT]
2024-12-09T01:00:06.692208,BUY,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:06.713347,SELL,NEO,11.28,True,5.125815470643047,NEO[USDT]
2024-12-09T01:00:06.732322,BUY,NEO,11.27,True,5.032618825722266,NEO[USDT]
2024-12-09T01:00:06.750833,SELL,NEO,11.29,True,5.219012115563828,NEO[USDT]
2024-12-09T01:00:06.766443,BUY,NEO,11.32,True,5.498602050326187,NEO[USDT]
2024-12-09T01:00:06.783517,SELL,NEO,11.3,True,5.312208760484625,NEO[USDT]
2024-12-09T01:00:06.798715,BUY,NEO,11.3,True,5.312208760484625,NEO[USDT]
2024-12-09T01:00:06.817117,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:06.832342,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:06.850517,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:06.866408,BUY,NEO,11.28,True,5.125815470643047,NEO[USDT]
2024-12-09T01:00:06.883848,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:06.899491,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:06.917501,SELL,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:06.932767,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:06.950073,SELL,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:06.963668,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:06.982488,SELL,NEO,11.21,True,4.4734389561975805,NEO[USDT]
